section	verse	gospel_refs	text
V	8	John i. 39	where art thou staying? And he said unto them, Come and see. And they came and saw his place, and abode with him that day: and it was about the tenth hour.
V	9	John i. 40	One of the two which heard from John, and followed Jesus, was Andrew the
V	10	John i. 41	brother of Simon. And he saw first Simon his brother, and said unto him, We have
V	11	John i. 42	found the Messiah. And he brought him unto Jesus. And Jesus looked upon him and said, Thou art Simon, son of Jonah: thou shalt be called Cephas.
V	12	John i. 43	And on the next day Jesus desired to go forth to Galilee, and he found Philip,
V	13	John i. 44	and said unto him, Follow me. Now Philip was of Bethsaida, of the city
V	14	John i. 45	of Andrew and Simon. And Philip found Nathanael, and said unto him, He of whom Moses did write in the law and in the prophets, we have found that
V	15	John i. 46	he is Jesus the son of Joseph of Nazareth. Nathanael said unto him, Is it possible that there can be any good thing from Nazareth? Philip said unto him, Come and
V	16	John i. 47	see. And Jesus saw Nathanael coming to him, and said of him, This is indeed a
V	17	John i. 48	son of Israel in whom is no guile. And Nathanael said unto him, Whence knowest thou me? Jesus said unto him, Before Philip called thee, while thou wast under the
V	18	John i. 49	fig tree, I saw thee. Nathanael answered and said unto him, My Master, thou art
V	19	John i. 50	the Son of God; thou art the King of Israel. Jesus said unto him, Because I said unto thee, I saw thee under the fig tree, hast thou believed? thou shalt see what is
V	20	John i. 51	greater than this. And he said unto him, Verily, verily, I say unto you, Henceforth ye shall see the heavens opened, and the angels of God ascending and descending upon the Son of man.
V	21	Luke iv. 14	And Jesus returned in the power of the Spirit to Galilee.
V	22	John ii. 1	And on the third day there was a feast in Cana, a city of Galilee; and the
V	23	John ii. 2	mother of Jesus was there: and Jesus also and his disciples were invited to the
V	24	John ii. 3	feast. And they lacked wine: and his mother said unto Jesus, They have no wine.
V	25	John ii. 4	And Jesus said unto her, What have I to do with thee, woman? hath not mine
V	26	John ii. 5	hour come? And his mother said unto the servants, What he saith unto you, do.
V	27	John ii. 6	And there were there six vessels of stone, placed for the Jews’ purification, such as
V	28	John ii. 7	would contain two or three jars. And Jesus said unto them, Fill the vessels
V	29	John ii. 8	with water. And they filled them to the top. He said unto them, Draw
V	30	John ii. 9	out now, and present to the ruler of the feast. And they did so. And when the ruler of the company tasted that water which had become wine, and knew not whence it was (but the servants knew, because they filled up the water), the ruler of the company called
V	31	John ii. 10	the bridegroom, and said unto him, Every man presenteth first the good wine, and on intoxication he bringeth what is poor; but thou hast kept the good wine until
V	32	John ii. 11	now. And this is the first sign which Jesus did in Cana of Galilee, and manifested
V	33	Luke iv. 14	his glory; and his disciples believed on him. And his fame spread in all the country
V	34	Luke iv. 15	which was around them. And he taught in their synagogues, and was glorified
V	35	Luke iv. 16	by every man. And he came to Nazareth, where he had been brought up, and entered, according to his custom, into the synagogue on the sabbath day, and stood
V	36	Luke iv. 17	up to read. And he was given the book of Isaiah the prophet. And Jesus opened the book and found the place where it was written,
V	37	Luke iv. 18	The Spirit of the Lord is upon me, And for this anointed he me, to preach good tidings to the poor; And he hath sent me to heal the broken-hearted, And to proclaim forgiveness to the evil-doers, and sight to the blind, And to bring the broken into forgiveness,
V	38	Luke iv. 19	And to proclaim an acceptable year of the Lord.
V	39	Luke iv. 20	And he rolled up the book and gave it to the servant, and went and sat down:
V	40	Luke iv. 21	and the eyes of all that were in the synagogue were observing him. And he began to say unto them, To-day hath this scripture been fulfilled which ye have heard with
V	41	Luke iv. 22	your ears. And they all bare him witness, and wondered at the words of grace which were proceeding from his mouth.
V	42	Matt. iv. 17	And from that time began Jesus to proclaim the gospel of the kingdom
V	43	Mark i. 15	of God, and to say, Repent ye, and believe in the gospel. The time is fulfilled, and the kingdom of heaven hath come near.
V	44	Matt. iv. 18	And while he was walking on the shore of the sea of Galilee, he saw two brethren, Simon who was called Cephas, and Andrew his brother, casting their nets into
V	45	Matt. iv. 19	the sea; for they were fishers. And Jesus said unto them, Follow me, and I will
V	46	Matt. iv. 20	make you fishers of men. And they immediately left their nets there and followed
V	47	Matt. iv. 21	him. And when he went on from thence, he saw other two brothers, James the son of Zebedee, and John his brother, in the ship with Zebedee their father, mending
V	48	Matt. iv. 22	their nets; and Jesus called them. And they immediately forsook the ship and their father Zebedee, and followed him.
